cfmt_plus,efct_inverted,efct_upright,gfmt,kfmt,one_in_ten,pict
0.8627450980392157,0.5357142857142857,0.8214285714285714,0.9743589743589745,0.525,0.7125,0.6
0.5392156862745098,0.5238095238095238,0.5952380952380952,0.5384615384615384,0.475,0.4125,0.55
0.6862745098039216,0.5714285714285714,0.7738095238095238,0.8717948717948718,0.65,0.6625,0.55
0.6176470588235294,0.6309523809523809,0.7380952380952381,0.7435897435897436,0.65,0.6625,0.675
0.5882352941176471,0.5595238095238095,0.7261904761904762,0.7692307692307693,0.55,0.575,0.65
0.5784313725490197,0.5238095238095238,0.6428571428571429,0.6666666666666666,0.575,0.225,0.475
0.8725490196078431,0.7023809523809523,0.8571428571428571,0.9743589743589745,0.65,0.3875,0.6
0.6372549019607843,0.6190476190476191,0.7142857142857143,0.8974358974358975,0.375,0.675,0.675
0.4803921568627451,0.5595238095238095,0.6190476190476191,0.6666666666666666,0.5,0.0875,0.5
0.6862745098039216,0.5595238095238095,0.75,0.7948717948717948,0.675,0.75,0.725
0.7843137254901961,0.6666666666666666,0.8333333333333334,0.9230769230769232,0.825,0.8625,0.675
0.7745098039215687,0.6428571428571429,0.8690476190476191,0.7948717948717948,0.65,0.7875,0.75
0.6666666666666666,0.6666666666666666,0.7380952380952381,0.7692307692307693,0.6,0.6125,0.625
0.6568627450980392,0.6190476190476191,0.7619047619047619,0.8205128205128205,0.5,0.425,0.55
0.6176470588235294,0.5952380952380952,0.5952380952380952,0.5897435897435898,0.55,0.45,0.65
0.6176470588235294,0.6547619047619048,0.8333333333333334,0.8717948717948718,0.675,0.625,0.6
0.7450980392156863,0.5714285714285714,0.7738095238095238,0.9487179487179488,0.675,0.6875,0.425
0.8529411764705882,0.5952380952380952,0.7619047619047619,0.7435897435897436,0.675,0.475,0.85
0.5784313725490197,0.5238095238095238,0.7619047619047619,0.3846153846153846,0.65,0.6,0.675
0.5,0.6785714285714286,0.7857142857142857,0.9487179487179488,0.375,0.8,0.7
0.6764705882352942,0.5476190476190477,0.5833333333333334,0.7435897435897436,0.575,0.65,0.55
0.4411764705882353,0.4761904761904761,0.6428571428571429,0.7435897435897436,0.5,0.375,0.525
0.5490196078431373,0.5,0.75,0.8717948717948718,0.8,0.525,0.475
0.6176470588235294,0.5595238095238095,0.7738095238095238,0.4871794871794871,0.6,0.325,0.575
0.6568627450980392,0.5476190476190477,0.7142857142857143,0.5897435897435898,0.675,0.55,0.6
0.8137254901960784,0.7380952380952381,0.8214285714285714,1.0,0.675,0.75,0.65
0.6862745098039216,0.6428571428571429,0.6309523809523809,0.7692307692307693,0.575,0.625,0.575
0.8235294117647058,0.5952380952380952,0.6071428571428571,0.7948717948717948,0.575,0.675,0.45
0.5882352941176471,0.5476190476190477,0.7857142857142857,0.8717948717948718,0.625,0.6125,0.75
0.6078431372549019,0.6785714285714286,0.7142857142857143,0.8205128205128205,0.65,0.45,0.6
0.6470588235294118,0.5238095238095238,0.6309523809523809,0.7692307692307693,0.675,0.4375,0.725
0.6666666666666666,0.6666666666666666,0.8095238095238095,0.7692307692307693,0.575,0.525,0.65
0.5980392156862745,0.6309523809523809,0.6309523809523809,0.7948717948717948,0.475,0.3875,0.525
0.5294117647058824,0.5119047619047619,0.6309523809523809,0.2307692307692307,0.525,0.5,0.6
0.5392156862745098,0.5119047619047619,0.75,0.5384615384615384,0.475,0.5625,0.525
0.4509803921568627,0.5357142857142857,0.6666666666666666,0.6410256410256411,0.4,0.475,0.5
0.6274509803921569,0.6666666666666666,0.7142857142857143,0.6923076923076923,0.7,0.6875,0.5
0.4803921568627451,0.4761904761904761,0.6428571428571429,0.5384615384615384,0.425,0.225,0.4
0.803921569,0.6785714285714286,0.8095238095238095,0.8205128205128205,0.65,0.575,0.725
0.931372549019608,0.6309523809523809,0.7619047619047619,0.9743589743589745,0.55,0.825,0.675
0.7745098039215687,0.6309523809523809,0.8928571428571429,0.9487179487179488,0.725,0.65,0.65
0.5490196078431373,0.5476190476190477,0.7380952380952381,0.6153846153846154,0.525,0.425,0.575
0.9019607843137256,0.4880952380952381,0.7857142857142857,0.7692307692307693,0.675,0.7375,0.675
0.7745098039215687,0.5357142857142857,0.7261904761904762,0.7435897435897436,0.55,0.275,0.525
0.7058823529411765,0.6190476190476191,0.7976190476190477,0.7948717948717948,0.7,0.8,0.475
0.5784313725490197,0.5714285714285714,0.6785714285714286,0.5897435897435898,0.55,0.0875,0.525
0.8627450980392157,0.6666666666666666,0.8452380952380952,1.0,0.65,0.325,0.725
0.5784313725490197,0.5952380952380952,0.6547619047619048,0.6153846153846154,0.425,0.15,0.55
0.5686274509803921,0.6428571428571429,0.75,0.5128205128205128,0.525,0.3375,0.5
0.6862745098039216,0.6547619047619048,0.75,0.9230769230769232,0.7,0.6,0.675
0.5882352941176471,0.4880952380952381,0.6190476190476191,0.6153846153846154,0.65,0.375,0.575
0.5980392156862745,0.6190476190476191,0.8571428571428571,0.8974358974358975,0.725,0.625,0.725
0.5980392156862745,0.6666666666666666,0.6666666666666666,0.6153846153846154,0.625,0.5375,0.5
0.7941176470588235,0.6785714285714286,0.8333333333333334,0.9487179487179488,0.725,0.475,0.675
0.6764705882352942,0.4642857142857143,0.8452380952380952,0.7948717948717948,0.85,0.375,0.65
0.7843137254901961,0.6428571428571429,0.7738095238095238,0.8717948717948718,0.7,0.675,0.625
0.6372549019607843,0.6428571428571429,0.6309523809523809,0.7692307692307693,0.65,0.6875,0.525
0.7549019607843137,0.7380952380952381,0.7976190476190477,0.8205128205128205,0.8,0.65,0.6
0.5490196078431373,0.5238095238095238,0.7619047619047619,0.8974358974358975,0.65,0.6375,0.6
0.5196078431372549,0.6785714285714286,0.7142857142857143,0.717948718,0.6,0.225,0.625
0.4607843137254901,0.5952380952380952,0.6190476190476191,0.717948718,0.55,0.15,0.525
0.7745098039215687,0.7261904761904762,0.7380952380952381,0.8974358974358975,0.775,0.6875,0.8
0.5980392156862745,0.7142857142857143,0.7023809523809523,0.8717948717948718,0.75,0.2,0.825
0.7549019607843137,0.6904761904761905,0.7619047619047619,0.8974358974358975,0.9,0.8,0.625
0.6764705882352942,0.6071428571428571,0.75,0.5128205128205128,0.5,0.325,0.575
0.5392156862745098,0.6309523809523809,0.7023809523809523,0.717948718,0.625,0.525,0.5
0.8823529411764706,0.5119047619047619,0.8095238095238095,0.8717948717948718,0.675,0.775,0.65
0.6176470588235294,0.6071428571428571,0.7142857142857143,0.8717948717948718,0.675,0.5625,0.575
0.4509803921568627,0.4642857142857143,0.6071428571428571,0.6410256410256411,0.65,0.05,0.475
0.8627450980392157,0.6309523809523809,0.8690476190476191,0.9743589743589745,0.725,0.6875,0.725
0.6274509803921569,0.5357142857142857,0.8095238095238095,0.85,0.55,0.575,0.55
0.7254901960784313,0.6071428571428571,0.8214285714285714,0.825,0.6,0.35,0.825
0.7254901960784313,0.7619047619047619,0.7619047619047619,0.85,0.625,0.6125,0.775
0.6470588235294118,0.7261904761904762,0.6547619047619048,0.625,0.525,0.325,0.65
0.3823529411764705,0.5714285714285714,0.8095238095238095,0.675,0.525,0.475,0.7
0.4901960784313725,0.7142857142857143,0.8333333333333334,0.775,0.65,0.5375,0.75
0.8725490196078431,0.6666666666666666,0.7619047619047619,0.725,0.6,0.625,0.625
