PID,PID_Sex,PID_Age,Manipulation,combined_info,score
54,Male,19,Masculinity,102_None,3
55,Female,20,Masculinity,102_None,0
56,Female,20,Masculinity,102_None,2
57,Female,19,Masculinity,102_None,0
58,Male,18,Masculinity,102_None,0
59,Male,31,Masculinity,102_None,1
60,Male,19,Masculinity,102_None,0
61,Female,41,Masculinity,102_None,0
62,Female,19,Masculinity,102_None,0
63,Female,24,Masculinity,102_None,2
64,Female,19,Masculinity,102_None,0
65,Female,20,Masculinity,102_None,1
66,Male,21,Masculinity,102_None,0
67,Female,34,Masculinity,102_None,5
68,Male,18,Masculinity,102_None,5
69,Female,19,Masculinity,102_None,4
70,Female,19,Masculinity,102_None,0
71,Female,18,Masculinity,102_None,0
72,Female,18,Masculinity,102_None,4
73,Female,19,Masculinity,102_None,3
74,Female,18,Masculinity,102_None,6
75,Female,20,Masculinity,102_None,5
76,Female,18,Masculinity,102_None,0
77,Female,20,Masculinity,102_None,0
78,Female,19,Masculinity,102_None,0
79,Female,20,Masculinity,102_None,0
80,Female,20,Masculinity,102_None,0
81,Female,18,Masculinity,102_None,0
82,Female,20,Masculinity,102_None,3
83,Female,18,Masculinity,102_None,4
84,Female,19,Masculinity,102_None,5
85,Female,19,Masculinity,102_None,0
86,Male,18,Masculinity,102_None,6
87,Female,18,Masculinity,102_None,0
88,Female,18,Masculinity,102_None,4
89,Female,39,Masculinity,102_None,1
90,Female,18,Masculinity,102_None,4
91,Male,19,Masculinity,102_None,0
92,Female,20,Masculinity,102_None,0
103,Female,18,Symmetry,102_None,0
106,Female,19,Symmetry,102_None,0
106,Male,22,Symmetry,102_None,1
109,Male,20,Symmetry,102_None,2
112,Female,18,Symmetry,102_None,3
115,Female,18,Symmetry,102_None,0
118,Female,19,Symmetry,102_None,1
121,Female,18,Symmetry,102_None,0
124,Female,19,Symmetry,102_None,0
127,Female,19,Symmetry,102_None,3
130,Female,19,Symmetry,102_None,0
133,Female,21,Symmetry,102_None,2
136,Male,20,Symmetry,102_None,0
139,Female,19,Symmetry,102_None,4
142,Female,19,Symmetry,102_None,2
145,Male,18,Symmetry,102_None,0
148,Male,22,Symmetry,102_None,0
151,Male,20,Symmetry,102_None,0
154,Male,21,Symmetry,102_None,0
